Place,Type,Mass,Fell/found?,Year,Database,longitude,latitude
ALHA78175,H5,9.71,Found,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=1788,159.66667,-76.71667
Y-790336,Stone-uncl,9.71,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=25685,35.66667,-71.5
Y-793415,H4,9.71,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=28764,35.66667,-71.5
A-881762,Stone-uncl,9.71,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4471,26,-72
RC 006,L6,9.7,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=22661,-103.5,34.08333
RKPA80209,L5,9.7,Found,1980,http://www.lpi.usra.edu/meteor/metbull.php?code=22479,159.25,-76.26667
RKPA80249,H5,9.7,Found,1980,http://www.lpi.usra.edu/meteor/metbull.php?code=22518,158.2662,-76.22867
ALH 83050,H6,9.7,Found,1983,http://www.lpi.usra.edu/meteor/metbull.php?code=570,159.3875,-76.69389
ALH 85065,L6,9.7,Found,1985,http://www.lpi.usra.edu/meteor/metbull.php?code=931,156.44564,-76.83619
LEW 86486,H5,9.7,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=13416,161.67978,-84.27403
LEW 87145,L6,9.7,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=13612,161.37865,-84.34528
LEW 88281,Ureilite,9.7,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=14032,161.47099,-84.23664
LEW 88475,H5,9.7,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=14219,161.46423,-84.24749
LEW 88078,L5,9.7,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=13832,161.42012,-84.24546
LEW 88497,H5,9.7,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=14241,161.3855,-84.25055
LEW 88567,H5,9.7,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=14307,161.36952,-84.25137
ALH 88090,H4,9.7,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=1134,159.33333,-76.71667
EET 90161,L3.05,9.7,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=8570,156.51672,-76.2824
EET 90421,L6,9.7,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=8830,156.45051,-76.27133
EET 90943,L6,9.7,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=9352,156.44114,-76.26758
EET 90142,L6,9.7,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=8551,156.41609,-76.28742
EET 90640,L5,9.7,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=9049,156.41295,-76.27195
PCA 91174,H5,9.7,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=18465,-69.06433,-85.67854
EET 92022,Howardite,9.7,Found,1992,http://www.lpi.usra.edu/meteor/metbull.php?code=9424,156.01923,-76.02456
QUE 93484,H5,9.7,Found,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=19572,168,-84
QUE 93183,L6,9.7,Found,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=19272,162.56781,-84.57572
EET 96073,H6,9.7,Found,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=9667,157.16667,-76.18333
QUE 97335,LL5,9.7,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=20793,168,-84
QUE 97340,LL5,9.7,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=20798,168,-84
QUE 97643,LL5,9.7,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=21099,168,-84
